command,ordinalStart,ordinalEnd,x,y
missing,0,2,0,0
map,3,3,17,4
map,4,4,16,4
map,5,5,15,5
map,6,9,15,9
map,10,10,15,11
map,11,16,15,17
map,17,17,16,17
map,18,29,16,5
map,30,30,17,5
map,31,41,17,16
map,42,42,18,16
map,43,54,18,4
map,55,55,19,4
map,56,66,19,15
map,67,67,20,15
map,68,78,20,4
missing,79,79,0,0
map,80,80,21,4
map,81,91,21,15
map,92,92,22,15
map,93,105,22,2
missing,106,106,0,0
map,107,107,23,2
missing,108,108,0,0
map,109,109,23,3
map,110,121,23,15
map,122,122,24,15
map,123,135,24,2
missing,136,137,0,0
map,138,138,26,2
map,139,151,26,15
map,152,152,27,15
map,153,166,27,1
map,167,167,28,1
map,168,183,28,17
map,184,184,30,17
map,185,200,30,1
map,201,201,31,1
map,202,217,31,17
map,218,218,32,17
map,219,235,32,0
map,236,236,33,0
map,237,252,33,16
map,253,253,34,16
map,254,269,34,0
map,270,270,35,0
map,271,285,35,15
map,286,286,37,15
map,287,301,37,0
map,302,302,38,0
map,303,316,38,14
map,317,317,39,14
map,318,331,39,0
map,332,332,40,0
map,333,346,40,14
map,347,347,41,14
map,348,361,41,0
map,362,362,42,0
map,363,376,42,14
map,377,377,43,14
map,378,391,43,0
map,392,392,44,0
map,393,406,44,14
map,407,407,45,14
map,408,421,45,0
map,422,422,46,0
map,423,436,46,14
map,437,437,47,14
map,438,451,47,0
map,452,452,48,0
map,453,467,48,15
map,468,468,49,15
map,469,483,49,0
map,484,484,51,0
map,485,498,51,14
map,499,499,52,14
map,500,513,52,0
map,514,514,53,0
map,515,528,53,14
map,529,529,54,14
map,530,542,54,1
map,543,543,55,1
map,544,557,55,15
map,558,558,56,15
map,559,572,56,1
map,573,573,57,1
map,574,574,57,1
map,575,575,57,3
map,576,587,57,15
map,588,588,58,15
map,589,602,58,1
map,603,603,59,1
map,604,617,59,15
map,618,618,60,15
map,619,631,60,2
map,632,632,61,2
map,633,645,61,15
map,646,646,62,15
map,647,658,62,3
map,659,659,63,3
map,660,671,63,15
map,672,672,64,15
map,673,684,64,3
map,685,685,65,3
map,686,698,65,16
map,699,699,66,14
map,700,710,66,3
map,711,711,67,4
map,712,719,67,12
map,720,720,68,12
map,721,728,68,4
map,729,729,69,4
map,730,735,69,10
map,736,736,70,10
map,737,741,70,5
map,742,742,71,5
map,743,749,71,12
map,750,750,72,12
map,751,756,72,6
missing,757,773,0,0
map,774,774,75,18
map,775,785,75,29
map,786,786,76,29
map,787,807,76,8
map,808,808,77,8
map,809,831,77,31
map,832,832,78,31
map,833,854,78,9
map,855,855,79,9
map,856,877,79,31
map,878,878,80,31
map,879,898,80,11
map,899,899,81,11
map,900,918,81,30
map,919,919,82,30
map,920,937,82,12
map,938,938,83,12
map,939,957,83,31
map,958,958,84,31
map,959,976,84,13
map,977,977,85,13
map,978,995,85,31
map,996,996,86,31
map,997,1012,86,15
map,1013,1013,87,15
map,1014,1029,87,31
map,1030,1030,88,31
map,1031,1045,88,16
map,1046,1046,89,16
map,1047,1061,89,31
map,1062,1062,90,31
map,1063,1076,90,17
map,1077,1077,91,17
map,1078,1091,91,31
map,1092,1092,92,31
map,1093,1104,92,19
map,1105,1105,93,19
map,1106,1116,93,30
map,1117,1117,94,30
map,1118,1127,94,20
map,1128,1128,95,20
map,1129,1137,95,29
map,1138,1138,96,29
map,1139,1145,96,22
map,1146,1146,97,22
map,1147,1153,97,29
